label,in_change,out_change,in_file,out_file,in_loc,out_loc,in_change_file_r,out_change_file_r,in_change_loc_r,out_change_loc_r
182,0.0,56,1,739,55,114071,0.0,0.07577807848443843,0.0,8.925860369259655e-06
183,0.0,0,3,737,96,114030,0.0,0.0,0.0,0.0
184,0.0,100,1,739,86,114040,0.0,0.13531799729364005,0.0,1.019634073723622e-05
185,2.0,187,3,737,254,113872,0.2222222222222222,0.0845771144278607,3.1000062000124e-05,6.465333641641008e-06
186,0.0,20,1,739,98,114028,0.0,0.02706359945872801,0.0,1.7897501723529416e-06
187,0.0,4,1,739,171,113955,0.0,0.005412719891745603,0.0,2.052723694923178e-07
188,0.0,32,1,739,6,114120,0.0,0.04330175913396482,0.0,4.673443159247576e-05
189,0.0,272,1,739,171,113955,0.0,0.3680649526387009,0.0,1.395852112547761e-05
190,4.0,156,2,738,51,114075,1.0,0.10569105691056911,0.0015378700499807767,2.6814144461203285e-05
191,0.0,38,2,738,71,114055,0.0,0.025745257452574527,0.0,4.69257172071048e-06
192,5.0,176,3,737,412,113714,0.5555555555555556,0.07960199004975124,2.9456122160429823e-05,3.7566567530771716e-06
193,0.0,154,1,739,751,113375,0.0,0.2083897158322057,0.0,1.8086872776760717e-06
194,4.0,451,2,738,235,113891,1.0,0.3055555555555556,7.243096423721141e-05,1.685075147439405e-05
195,0.0,33,1,739,6,114120,0.0,0.044654939106901215,0.0,4.819488257974062e-05
196,0.0,165,1,739,16,114110,0.0,0.2232746955345061,0.0,9.03733239856279e-05
197,5.0,768,4,736,734,113392,0.3125,0.2608695652173913,9.280639101931115e-06,9.227472183977341e-06
198,0.0,28,1,739,22,114104,0.0,0.037889039242219216,0.0,1.115409865322226e-05
199,2.0,91,2,738,125,114001,0.5,0.061653116531165314,0.000128,6.385908895536004e-06
200,0.0,5,1,739,91,114035,0.0,0.006765899864682003,0.0,4.81826237076818e-07
201,0.0,11,1,739,64,114062,0.0,0.014884979702300407,0.0,1.5068559204643088e-06
202,5.0,477,2,738,309,113817,1.25,0.3231707317073171,5.236643939631969e-05,1.3562906423366891e-05
203,0.0,14,1,739,4,114122,0.0,0.018944519621109608,0.0,3.066893324687615e-05
204,0.0,167,1,739,69,114057,0.0,0.2259810554803789,0.0,2.1220002762412335e-05
205,0.0,5,1,739,62,114064,0.0,0.006765899864682003,0.0,7.070167738315558e-07
206,9.0,914,4,736,875,113251,0.5625,0.31046195652173914,1.1755102040816326e-05,9.223507329484319e-06
207,0.0,153,1,739,3,114123,0.0,0.2070365358592693,0.0,0.00044688625430456614
208,1.0,288,3,737,360,113766,0.1111111111111111,0.13025780189959293,7.71604938271605e-06,7.031977919589332e-06
209,6.0,573,3,737,132,113994,0.6666666666666666,0.2591587516960651,0.0003443526170798898,3.808015413889407e-05
210,0.0,82,1,739,80,114046,0.0,0.11096075778078485,0.0,8.987601494133945e-06
211,4.0,156,2,738,126,114000,1.0,0.10569105691056911,0.0002519526329050139,1.086048454469507e-05
212,0.0,44,1,739,5,114121,0.0,0.05953991880920163,0.0,7.711113642537307e-05
213,4.0,217,3,737,203,113923,0.4444444444444444,0.09814563545906829,9.706617486471401e-05,9.383228296668621e-06
214,0.0,25,1,739,6,114120,0.0,0.03382949932341001,0.0,3.651127468162168e-05
215,0.0,705,5,735,1156,112970,0.0,0.19183673469387755,0.0,5.398438449991163e-06
216,1.0,456,2,738,204,113922,0.25,0.3089430894308943,2.4029219530949635e-05,1.962126821550762e-05
217,0.0,61,2,738,478,113648,0.0,0.041327913279132794,0.0,1.122897567590334e-06
218,16.0,1018,2,738,1105,113021,4.0,0.6897018970189702,1.310374480456993e-05,8.151290187892444e-06
219,0.0,66,1,739,96,114030,0.0,0.08930987821380243,0.0,6.0291151451372445e-06
220,0.0,12,1,739,55,114071,0.0,0.016238159675236806,0.0,1.912684364841355e-06
221,0.0,13,1,739,30,114096,0.0,0.017591339648173207,0.0,3.797971299023045e-06
222,0.0,195,1,739,108,114018,0.0,0.2638700947225981,0.0,1.5835706253008783e-05
223,0.0,20,1,739,62,114064,0.0,0.02706359945872801,0.0,2.828067095326223e-06
224,0.0,101,1,739,10,114116,0.0,0.13667117726657646,0.0,8.850643205159662e-05
